species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_depth_ratio,mass_flipper_ratio
Adelie,Torgersen,39.1,18.7,181,3750,male,2.0909090909090913,20.718232044198896
Adelie,Torgersen,39.5,17.4,186,3800,female,2.270114942528736,20.43010752688172
Adelie,Torgersen,40.3,18.0,195,3250,female,2.238888888888889,16.666666666666668
Adelie,Torgersen,36.7,19.3,193,3450,female,1.9015544041450778,17.875647668393782
Adelie,Torgersen,39.3,20.6,190,3650,male,1.907766990291262,19.210526315789473
Adelie,Torgersen,38.9,17.8,181,3625,female,2.185393258426966,20.027624309392266
Adelie,Torgersen,39.2,19.6,195,4675,male,2.0,23.974358974358974
Adelie,Torgersen,41.1,17.6,182,3200,female,2.3352272727272725,17.582417582417584
Adelie,Torgersen,38.6,21.2,191,3800,male,1.8207547169811322,19.895287958115183
Adelie,Torgersen,34.6,21.1,198,4400,male,1.6398104265402844,22.22222222222222
Adelie,Torgersen,36.6,17.8,185,3700,female,2.056179775280899,20.0
Adelie,Torgersen,38.7,19.0,195,3450,female,2.0368421052631582,17.692307692307693
Adelie,Torgersen,42.5,20.7,197,4500,male,2.0531400966183577,22.84263959390863
Adelie,Torgersen,34.4,18.4,184,3325,female,1.8695652173913044,18.070652173913043
Adelie,Torgersen,46.0,21.5,194,4200,male,2.13953488372093,21.649484536082475
Adelie,Biscoe,37.8,18.3,174,3400,female,2.065573770491803,19.54022988505747
Adelie,Biscoe,37.7,18.7,180,3600,male,2.016042780748663,20.0
Adelie,Biscoe,35.9,19.2,189,3800,female,1.8697916666666667,20.105820105820104
Adelie,Biscoe,38.2,18.1,185,3950,male,2.110497237569061,21.35135135135135
Adelie,Biscoe,38.8,17.2,180,3800,male,2.255813953488372,21.11111111111111
Adelie,Biscoe,35.3,18.9,187,3800,female,1.8677248677248677,20.32085561497326
Adelie,Biscoe,40.6,18.6,183,3550,male,2.182795698924731,19.398907103825138
Adelie,Biscoe,40.5,17.9,187,3200,female,2.2625698324022347,17.112299465240643
Adelie,Biscoe,37.9,18.6,172,3150,female,2.0376344086021505,18.313953488372093
Adelie,Biscoe,40.5,18.9,180,3950,male,2.1428571428571432,21.944444444444443
Adelie,Dream,39.5,16.7,178,3250,female,2.3652694610778444,18.258426966292134
Adelie,Dream,37.2,18.1,178,3900,male,2.0552486187845305,21.910112359550563
Adelie,Dream,39.5,17.8,188,3300,female,2.2191011235955056,17.5531914893617
Adelie,Dream,40.9,18.9,184,3900,male,2.164021164021164,21.195652173913043
Adelie,Dream,36.4,17.0,195,3325,female,2.1411764705882352,17.05128205128205
Adelie,Dream,39.2,21.1,196,4150,male,1.8578199052132702,21.1734693877551
Adelie,Dream,38.8,20.0,190,3950,male,1.94,20.789473684210527
Adelie,Dream,42.2,18.5,180,3550,female,2.2810810810810813,19.72222222222222
Adelie,Dream,37.6,19.3,181,3300,female,1.9481865284974094,18.23204419889503
Adelie,Dream,39.8,19.1,184,4650,male,2.083769633507853,25.27173913043478
Adelie,Dream,36.5,18.0,182,3150,female,2.0277777777777777,17.307692307692307
Adelie,Dream,40.8,18.4,195,3900,male,2.217391304347826,20.0
Adelie,Dream,36.0,18.5,186,3100,female,1.945945945945946,16.666666666666668
Adelie,Dream,44.1,19.7,196,4400,male,2.238578680203046,22.448979591836736
Adelie,Dream,37.0,16.9,185,3000,female,2.1893491124260356,16.216216216216218
Adelie,Dream,39.6,18.8,190,4600,male,2.106382978723404,24.210526315789473
Adelie,Dream,41.1,19.0,182,3425,male,2.1631578947368424,18.818681318681318
Adelie,Dream,36.0,17.9,190,3450,female,2.011173184357542,18.157894736842106
Adelie,Dream,42.3,21.2,191,4150,male,1.9952830188679245,21.727748691099478
Adelie,Biscoe,39.6,17.7,186,3500,female,2.2372881355932206,18.817204301075268
Adelie,Biscoe,40.1,18.9,188,4300,male,2.121693121693122,22.872340425531913
Adelie,Biscoe,35.0,17.9,190,3450,female,1.9553072625698324,18.157894736842106
Adelie,Biscoe,42.0,19.5,200,4050,male,2.1538461538461537,20.25
Adelie,Biscoe,34.5,18.1,187,2900,female,1.9060773480662982,15.508021390374331
Adelie,Biscoe,41.4,18.6,191,3700,male,2.225806451612903,19.3717277486911
Adelie,Biscoe,39.0,17.5,186,3550,female,2.2285714285714286,19.086021505376344
Adelie,Biscoe,40.6,18.8,193,3800,male,2.1595744680851063,19.689119170984455
Adelie,Biscoe,36.5,16.6,181,2850,female,2.1987951807228914,15.74585635359116
Adelie,Biscoe,37.6,19.1,194,3750,male,1.9685863874345548,19.329896907216494
Adelie,Biscoe,35.7,16.9,185,3150,female,2.112426035502959,17.027027027027028
Adelie,Biscoe,41.3,21.1,195,4400,male,1.9573459715639807,22.564102564102566
Adelie,Biscoe,37.6,17.0,185,3600,female,2.211764705882353,19.45945945945946
Adelie,Biscoe,41.1,18.2,192,4050,male,2.258241758241758,21.09375
Adelie,Biscoe,36.4,17.1,184,2850,female,2.1286549707602336,15.48913043478261
Adelie,Biscoe,41.6,18.0,192,3950,male,2.3111111111111113,20.572916666666668
Adelie,Biscoe,35.5,16.2,195,3350,female,2.191358024691358,17.17948717948718
Adelie,Biscoe,41.1,19.1,188,4100,male,2.1518324607329844,21.80851063829787
Adelie,Torgersen,35.9,16.6,190,3050,female,2.1626506024096384,16.05263157894737
Adelie,Torgersen,41.8,19.4,198,4450,male,2.154639175257732,22.474747474747474
Adelie,Torgersen,33.5,19.0,190,3600,female,1.763157894736842,18.94736842105263
Adelie,Torgersen,39.7,18.4,190,3900,male,2.1576086956521743,20.526315789473685
Adelie,Torgersen,39.6,17.2,196,3550,female,2.302325581395349,18.112244897959183
Adelie,Torgersen,45.8,18.9,197,4150,male,2.4232804232804233,21.065989847715738
Adelie,Torgersen,35.5,17.5,190,3700,female,2.0285714285714285,19.473684210526315
Adelie,Torgersen,42.8,18.5,195,4250,male,2.3135135135135134,21.794871794871796
Adelie,Torgersen,40.9,16.8,191,3700,female,2.4345238095238093,19.3717277486911
Adelie,Torgersen,37.2,19.4,184,3900,male,1.9175257731958766,21.195652173913043
Adelie,Torgersen,36.2,16.1,187,3550,female,2.248447204968944,18.983957219251337
Adelie,Torgersen,42.1,19.1,195,4000,male,2.2041884816753927,20.512820512820515
Adelie,Torgersen,34.6,17.2,189,3200,female,2.011627906976744,16.93121693121693
Adelie,Torgersen,42.9,17.6,196,4700,male,2.4374999999999996,23.979591836734695
Adelie,Torgersen,36.7,18.8,187,3800,female,1.952127659574468,20.32085561497326
Adelie,Torgersen,35.1,19.4,193,4200,male,1.8092783505154642,21.761658031088082
Adelie,Dream,37.3,17.8,191,3350,female,2.095505617977528,17.539267015706805
Adelie,Dream,41.3,20.3,194,3550,male,2.0344827586206895,18.298969072164947
